Frame	Time	X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3
77	0.38	395.65305	-1915.63782	806.16998	435.14471	-1889.97852	913.93762	565.02844	-1807.16357	1263.74133
78	0.385	396.2652	-1914.63293	806.13403	435.60315	-1887.80115	914.00256	566.18201	-1804.90356	1263.44873
79	0.39	396.64203	-1912.72791	806.30768	436.44348	-1885.70447	914.15851	567.28284	-1801.53235	1263.04175
80	0.395	397.32492	-1910.57788	806.37354	437.09802	-1884.25879	914.09711	568.54401	-1799.38586	1262.78015
81	0.4	397.88577	-1908.63599	806.51611	437.78677	-1881.06091	914.25079	569.95508	-1797.09534	1262.60547
82	0.405	398.76489	-1906.61292	806.6709	438.98178	-1879.47278	914.29358	571.34741	-1794.41174	1262.49768
83	0.41	399.74072	-1903.84351	807.02264	440.04672	-1876.84802	914.38379	573.0946	-1791.38428	1262.20081
84	0.415	400.74078	-1901.73706	807.11847	441.3093	-1874.38135	914.47217	574.75427	-1788.98889	1262.10815
85	0.42	401.96902	-1899.51404	807.33362	442.70554	-1872.74133	914.54492	576.38702	-1785.7771	1261.92493
86	0.425	403.16556	-1896.63	807.604	443.91028	-1869.10706	914.83807	578.40759	-1783.4679	1261.99036
87	0.43	404.5033	-1893.92749	807.99506	445.40765	-1866.55981	915.07422	580.43079	-1780.07056	1261.88123
88	0.435	405.82175	-1890.7428	808.37805	447.00552	-1863.20593	915.44098	582.44006	-1776.68152	1262.12927
89	0.44	407.49661	-1887.68689	808.66504	448.75226	-1860.25574	915.52667	584.9743	-1773.40088	1261.90808
90	0.445	409.03137	-1884.48572	808.98767	450.6438	-1856.86426	915.94568	587.81995	-1770.89111	1261.7041
91	0.45	410.72012	-1881.00464	809.50775	452.41962	-1852.90344	916.36652	590.35815	-1766.73877	1261.77881
92	0.455	412.49469	-1877.51587	810.03143	454.5556	-1849.88147	916.57172	593.31915	-1762.90967	1261.66003
93	0.46	414.22635	-1874.29004	810.35394	456.83685	-1846.3092	916.84741	596.6051	-1759.22827	1261.55115
94	0.465	416.18155	-1870.26477	811.06329	458.91785	-1841.99097	917.43689	599.88672	-1754.86938	1261.27356
95	0.47	418.17038	-1866.61218	811.59192	461.24542	-1838.49194	917.69751	603.7196	-1750.48755	1261.15979
96	0.475	420.27106	-1862.36243	812.40833	463.84393	-1834.427	918.11353	607.42908	-1745.41003	1260.90222
97	0.48	422.3161	-1858.3844	813.01965	466.38928	-1829.8772	918.66083	611.40796	-1739.9928	1260.37024
98	0.485	424.51205	-1854.10571	813.88269	469.168	-1826.0498	919.02747	615.79413	-1735.18787	1260.20496
99	0.49	426.91284	-1849.87585	814.62262	472.06436	-1820.74609	919.71075	620.69342	-1730.02051	1259.67432
100	0.495	429.27487	-1845.14758	815.56598	475.09799	-1816.27783	920.24048	625.53876	-1724.63477	1259.31958
101	0.5	431.86862	-1840.52734	816.43787	478.10556	-1811.5874	920.8692	630.59302	-1719.4165	1258.86768
102	0.505	434.46033	-1835.88184	817.3382	481.57169	-1806.57471	921.39825	636.06158	-1713.72778	1258.27478
103	0.51	437.20279	-1830.58276	818.38428	484.85907	-1800.87341	922.0946	641.76288	-1708.23486	1257.65735
104	0.515	440.12933	-1825.40857	819.42432	488.66632	-1796.37524	922.60394	647.87274	-1702.5249	1257.00623
105	0.52	443.20383	-1820.30176	820.30615	492.32159	-1790.4364	923.16986	653.74969	-1696.00452	1256.33203
106	0.525	446.375	-1814.92468	821.33453	496.29898	-1784.69202	923.97443	660.27985	-1689.93628	1255.63062
